,precision,recall,f1-score,support
B-LOC,0.8571428571428571,0.6666666666666666,0.75,9.0
B-MISC,0.0,0.0,0.0,5.0
B-PER,0.8,0.8421052631578947,0.8205128205128205,19.0
I-LOC,0.9166666666666666,0.5789473684210527,0.7096774193548387,19.0
I-MISC,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0
I-PER,0.6060606060606061,0.6896551724137931,0.6451612903225806,29.0
O,0.9833024118738405,0.9925093632958801,0.9878844361602982,534.0
accuracy,0.9330143540669856,0.9330143540669856,0.9330143540669856,0.9330143540669856
macro avg,0.6185484583443766,0.5623643572317076,0.5828432332881721,627.0
weighted avg,0.932998720729411,0.9330143540669856,0.9315208626577983,627.0
