              precision    recall  f1-score     support
B-LOC          0.857143  0.666667  0.750000    9.000000
B-MISC         0.000000  0.000000  0.000000    5.000000
B-PER          0.800000  0.842105  0.820513   19.000000
I-LOC          0.916667  0.578947  0.709677   19.000000
I-MISC         0.166667  0.166667  0.166667   12.000000
I-PER          0.606061  0.689655  0.645161   29.000000
O              0.983302  0.992509  0.987884  534.000000
accuracy       0.933014  0.933014  0.933014    0.933014
macro avg      0.618548  0.562364  0.582843  627.000000
weighted avg   0.932999  0.933014  0.931521  627.000000
