,precision,recall,f1-score,support
B-LOC,0.8571428571428571,0.6666666666666666,0.75,9.0
B-MISC,0.0,0.0,0.0,5.0
B-PER,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
I-LOC,1.0,0.5789473684210527,0.7333333333333333,19.0
I-MISC,0.0,0.0,0.0,12.0
I-PER,0.6046511627906976,0.896551724137931,0.7222222222222222,29.0
O,0.985239852398524,1.0,0.9925650557620818,534.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.5936238865236304,0.5767003716187019,0.569831183676606,627.0
weighted avg,0.9311412822158869,0.9473684210526315,0.9356950133471817,627.0
