              precision    recall  f1-score     support
B-LOC          0.857143  0.666667  0.750000    9.000000
B-MISC         0.000000  0.000000  0.000000    5.000000
B-PER          0.708333  0.894737  0.790698   19.000000
I-LOC          1.000000  0.578947  0.733333   19.000000
I-MISC         0.000000  0.000000  0.000000   12.000000
I-PER          0.604651  0.896552  0.722222   29.000000
O              0.985240  1.000000  0.992565  534.000000
accuracy       0.947368  0.947368  0.947368    0.947368
macro avg      0.593624  0.576700  0.569831  627.000000
weighted avg   0.931141  0.947368  0.935695  627.000000
