,precision,recall,f1-score,support
B-LOC,0.0,0.0,0.0,9.0
B-MISC,0.0,0.0,0.0,5.0
B-PER,0.0,0.0,0.0,19.0
I-LOC,0.6818181818181818,0.7894736842105263,0.7317073170731707,19.0
I-MISC,0.4,0.15384615384615385,0.2222222222222222,13.0
I-ORG,0.0,0.0,0.0,0.0
I-PER,0.5,0.9142857142857143,0.6464646464646465,35.0
O,0.9900199600798403,1.0,0.9949849548645938,496.0
accuracy,0.9144295302013423,0.9144295302013423,0.9144295302013423,0.9144295302013423
macro avg,0.32147976773725273,0.3572006940427993,0.32442239257807914,596.0
weighted avg,0.8837322913660173,0.9144295302013423,0.8941780673697655,596.0
