              precision    recall  f1-score    support
B-LOC          0.000000  0.000000  0.000000    9.00000
B-MISC         0.000000  0.000000  0.000000    5.00000
B-PER          0.000000  0.000000  0.000000   19.00000
I-LOC          0.681818  0.789474  0.731707   19.00000
I-MISC         0.400000  0.153846  0.222222   13.00000
I-ORG          0.000000  0.000000  0.000000    0.00000
I-PER          0.500000  0.914286  0.646465   35.00000
O              0.990020  1.000000  0.994985  496.00000
accuracy       0.914430  0.914430  0.914430    0.91443
macro avg      0.321480  0.357201  0.324422  596.00000
weighted avg   0.883732  0.914430  0.894178  596.00000
