,precision,recall,f1-score,support
B-LOC,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
B-MISC,0.0,0.0,0.0,5.0
B-ORG,0.0,0.0,0.0,0.0
B-PER,0.45714285714285713,0.8421052631578947,0.5925925925925926,19.0
I-LOC,0.9230769230769231,0.631578947368421,0.75,19.0
I-MISC,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
I-PER,0.7,0.2,0.3111111111111111,35.0
O,0.9575289575289575,1.0,0.9783037475345168,496.0
accuracy,0.9060402684563759,0.9060402684563759,0.9060402684563759,0.9060402684563759
macro avg,0.5186074811074811,0.4506635177687809,0.452538943100684,596.0
weighted avg,0.9009930739796511,0.9060402684563759,0.8915665252190128,596.0
