              precision    recall  f1-score    support
B-LOC          0.777778  0.777778  0.777778    9.00000
B-MISC         0.000000  0.000000  0.000000    5.00000
B-ORG          0.000000  0.000000  0.000000    0.00000
B-PER          0.457143  0.842105  0.592593   19.00000
I-LOC          0.923077  0.631579  0.750000   19.00000
I-MISC         0.333333  0.153846  0.210526   13.00000
I-PER          0.700000  0.200000  0.311111   35.00000
O              0.957529  1.000000  0.978304  496.00000
accuracy       0.906040  0.906040  0.906040    0.90604
macro avg      0.518607  0.450664  0.452539  596.00000
weighted avg   0.900993  0.906040  0.891567  596.00000
